edad,comentario,lugar,genero,comentario_cleaned
22,huele feo la refineria,salamanca,mujer,oler feo refineria
21,"al igual que en varios municipios de guanajuato la ciudad se ve opacada por las constantes olas de violencia que causan inseguridad en sus habitantes por o tanto tambien a sus turistas, ademas es vista como una ciudad industrial por la refineria lo que le da mala imagen ambiental",valle de santiago,hombre,municipio guanajuato ciudad opacado constante ola violencia causar inseguridad habitante turista ver ciudad industrial refineria malo imagen ambiental
26,"es un lugar muy sucio incluso en el aire, donde se tienen niveles de inseguridad bastante altos",guanajuato,hombre,lugar sucio aire nivel inseguridad alto
20,"tiene muy pocas cosas para hacer, y las que hay en su mayoria quedan lejos. asi como muchos lugares, la delincuencia y violencia que hay ponen en muy mala finta a la ciudad. en general, aunque no he tenido muy malas experiencias, realmente no me gustaria quedarme ni recomendar que vengan a vivir/estudiar aqui",leon,mujer,cosa mayoria quedar lejos lugar delincuencia violencia poner malo finta ciudad general mala experiencia realmente gustariar quedar yo recomendar vengar vivir estudiar
30,"salamanca es una ciudad que he visitado desde hace muchos anos por estudios, recreacion y para hacer compras. ahi viven algunos de mis familiares y amigos y eso me hace tener una buena impresion de la ciudad. sin embargo, tambien creo que, lamentablemente, los temas de la contaminacion y la inseguridad han afectado su imagen y, por ejemplo, ya no se tiene tanta confianza para visitar zonas turisticas a las afueras de la ciudad.",valle de santiago,hombre,salamanca ciudad visitar ano estudio recreacion compra vivir familiar amigo impresion ciudad lamentablemente tema contaminacion inseguridad afectar imagen ejemplo tanto confianza visitar zona turistica afuera ciudad
19,desconozco la mayoria de aspectos que se preguntan en esta encuesta ya que nunca he visitado el centro,abasolo,hombre,desconocer mayoria aspecto preguntar encuesta visitar centro
18,"llevo poco tiempo viviendo aqui, por lo general evito salir por la inseguridad.",michoacan,mujer,llevar tiempo vivir general evito salir inseguridad
20,es un lugar un poco inseguro,salamanca,mujer,lugar inseguro
22,,leon,hombre,
20,"es una ciudad bastante insegura, la visito por la universidad y de vez en cuando asisto a lugares concurridos con mis amigos para disfrutar. sin embargo no tiene lugares atractivos para pasar el rato. es una ciudad muy contaminada y siempre se ve mucho humo saliendo de las empresas de pemex. no tiene destinos turisticos que valgan la pena. le tengo carino por mis amigos y familiares que viven ahi.",irapuato,hombre,ciudad inseguro visito universidad asisto lugar concurrido amigo disfrutar lugar atractivo pasar rato ciudad contaminado humo salir empresa pemex destino turistico valgar pena carino amigo familiar vivir
20,es de las ciudades mas sucias de mexico por tener aqui cerca la refineria. me disgusta que se haya colocado una sede de la ug en una ciudad con tanta inseguridad y suciedad.,guanajuato,mujer,ciudad sucio mexico cerca refineria disgustar colocar sede ciudad tanto inseguridad suciedad
27,un poco peligroso pero bonito,valle de santiago,otro,peligroso bonito
18,neutral,oaxaca,hombre,neutral
19,es buen lugar para asentarse siendo foraneo,arandas,hombre,lugar asentar el foraneo
22,"es una ciudad que le hacen falta arboles y atenciones como baches en la ciudad, ademas hay lugares que se ven bandalizados",irapuato,mujer,ciudad falta arbol atencion bache ciudad lugar ver bandalizado
18,es un lugar peligroso pero te adaptas,villagran,mujer,lugar peligroso adaptar
20,es un buen lugar para vivir,salamanca,hombre,lugar vivir
20,te bueno salamanca,guanajuato,hombre,salamanca
21,"aqui naci lo visito por la universidad, me gusta su jardin principal y la calides de la gente",cortazar,mujer,naci visito universidad gustar jardin principal calid gente
20,.,salamanca,hombre,
20,"en general, hay mucha contaminacion. respecto a la seguridad, hay mucha delincuencia (como la hay en otros municipios del estado).",irapuato,mujer,general contaminacion seguridad delincuencia municipio
22,el gobierno podria implementar una mayor cultura de lugares atractivos pero la inseguridad viene cada dia mas fuerte y cierran mas lugares debido a su mala gestion,salamanca,mujer,gobierno implementar cultura lugar atractivo inseguridad venir fuerte cerrar lugar malo gestion
21,una ciudad con potencial turistico pero brutalmente abandonada y descuidada,salamanca,hombre,ciudad potencial turistico brutalmente abandonado descuidar
20,"mi opinion es que salamanca se convierte en algo malo por su inseguridad que vive actualmente, aparte de que no cuenta con tantas atracciones sociales para la estancia o visita",guanajuato,hombre,opinion salamanca convertir malo inseguridad vivir actualmente aparte tanto atraccion social estancia visita
22,vete de aqui lo mas pronto posible. :dd,guanajuato,hombre,vetir
20,"es un lugar bastante inseguro, contaminado, aburrido y poco atractivo, no es muy apto para el turismo",salamanca,hombre,lugar inseguro contaminado aburrido atractivo apto turismo
20,"me gusta la ciudad porque es pequena, no tiene trafico, tiene lugares muy lindos a las afueras de la ciudad para vistas bonitas, hacer hiking, rutas de bici etc... y son pocos los buenos restaurantes pero con valor agregado c/u.",leon,mujer,gustar ciudad pequen trafico lugar lindo afuera ciudad vistas bonitas hiking ruta bici restaurante valor agregado
