rank,ngrama,modelo,reduccion,score_ranking,silhouette,n_clusters,n_ruido,pct_ruido,inercia,codo_k,hiperparametros
49,trigramas,jerarquico,TSNE,0.285571,0.285571,10,0,0.0,,,"k=10,metodo=average"
50,trigramas,jerarquico,UMAP,0.283516,0.283516,2,0,0.0,,,"k=2,metodo=average"
51,trigramas,jerarquico,UMAP,0.282468,0.282468,9,0,0.0,,,"k=9,metodo=complete"
52,trigramas,jerarquico,TSNE,0.282302,0.282302,7,0,0.0,,,"k=7,metodo=complete"
53,trigramas,jerarquico,UMAP,0.282187,0.282187,8,0,0.0,,,"k=8,metodo=complete"
54,trigramas,jerarquico,UMAP,0.281597,0.281597,8,0,0.0,,,"k=8,metodo=ward"
55,trigramas,jerarquico,UMAP,0.281048,0.281048,6,0,0.0,,,"k=6,metodo=average"
56,trigramas,jerarquico,UMAP,0.281047,0.281047,4,0,0.0,,,"k=4,metodo=complete"
57,trigramas,jerarquico,TSNE,0.280586,0.280586,9,0,0.0,,,"k=9,metodo=average"
58,trigramas,jerarquico,TSNE,0.279323,0.279323,5,0,0.0,,,"k=5,metodo=average"
59,trigramas,jerarquico,PCA,0.277911,0.277911,3,0,0.0,,,"k=3,metodo=complete"
60,trigramas,jerarquico,UMAP,0.27659,0.27659,9,0,0.0,,,"k=9,metodo=ward"
61,trigramas,jerarquico,TSNE,0.276576,0.276576,8,0,0.0,,,"k=8,metodo=average"
62,trigramas,jerarquico,TSNE,0.275119,0.275119,6,0,0.0,,,"k=6,metodo=average"
63,trigramas,jerarquico,UMAP,0.274271,0.274271,5,0,0.0,,,"k=5,metodo=average"
64,trigramas,jerarquico,UMAP,0.274133,0.274133,10,0,0.0,,,"k=10,metodo=ward"
65,trigramas,jerarquico,UMAP,0.274118,0.274118,7,0,0.0,,,"k=7,metodo=ward"
66,trigramas,jerarquico,TSNE,0.272417,0.272417,8,0,0.0,,,"k=8,metodo=complete"
67,trigramas,jerarquico,UMAP,0.272009,0.272009,5,0,0.0,,,"k=5,metodo=ward"
68,trigramas,jerarquico,TSNE,0.271571,0.271571,5,0,0.0,,,"k=5,metodo=complete"
69,trigramas,jerarquico,TSNE,0.270853,0.270853,3,0,0.0,,,"k=3,metodo=complete"
70,trigramas,jerarquico,TSNE,0.268931,0.268931,6,0,0.0,,,"k=6,metodo=ward"
71,trigramas,jerarquico,UMAP,0.268439,0.268439,10,0,0.0,,,"k=10,metodo=complete"
72,trigramas,jerarquico,TSNE,0.264753,0.264753,7,0,0.0,,,"k=7,metodo=average"
73,trigramas,jerarquico,PCA,0.264538,0.264538,4,0,0.0,,,"k=4,metodo=complete"
74,trigramas,jerarquico,TSNE,0.263548,0.263548,10,0,0.0,,,"k=10,metodo=complete"
75,trigramas,jerarquico,TSNE,0.260249,0.260249,7,0,0.0,,,"k=7,metodo=ward"
76,trigramas,jerarquico,UMAP,0.260073,0.260073,2,0,0.0,,,"k=2,metodo=complete"
77,trigramas,jerarquico,UMAP,0.259809,0.259809,4,0,0.0,,,"k=4,metodo=ward"
78,trigramas,jerarquico,TSNE,0.259415,0.259415,9,0,0.0,,,"k=9,metodo=complete"
79,trigramas,jerarquico,UMAP,0.259115,0.259115,5,0,0.0,,,"k=5,metodo=complete"
80,trigramas,jerarquico,UMAP,0.258127,0.258127,7,0,0.0,,,"k=7,metodo=average"
81,trigramas,jerarquico,UMAP,0.253522,0.253522,3,0,0.0,,,"k=3,metodo=ward"
82,trigramas,jerarquico,TSNE,0.237208,0.237208,2,0,0.0,,,"k=2,metodo=average"
83,trigramas,jerarquico,PCA,0.212018,0.212018,10,0,0.0,,,"k=10,metodo=single"
84,trigramas,jerarquico,PCA,0.181293,0.181293,4,0,0.0,,,"k=4,metodo=average"
85,trigramas,jerarquico,UMAP,0.175453,0.175453,2,0,0.0,,,"k=2,metodo=single"
86,trigramas,jerarquico,PCA,0.167508,0.167508,9,0,0.0,,,"k=9,metodo=single"
87,trigramas,jerarquico,TSNE,0.128675,0.128675,2,0,0.0,,,"k=2,metodo=single"
88,trigramas,jerarquico,PCA,0.094972,0.094972,5,0,0.0,,,"k=5,metodo=single"
89,trigramas,jerarquico,PCA,0.077142,0.077142,6,0,0.0,,,"k=6,metodo=single"
90,trigramas,jerarquico,UMAP,0.07447,0.07447,4,0,0.0,,,"k=4,metodo=single"
91,trigramas,jerarquico,UMAP,0.073183,0.073183,3,0,0.0,,,"k=3,metodo=single"
92,trigramas,jerarquico,PCA,0.063289,0.063289,4,0,0.0,,,"k=4,metodo=single"
93,trigramas,jerarquico,PCA,0.006939,0.006939,7,0,0.0,,,"k=7,metodo=single"
94,trigramas,jerarquico,PCA,-0.013594,-0.013594,8,0,0.0,,,"k=8,metodo=single"
95,trigramas,jerarquico,UMAP,-0.069467,-0.069467,8,0,0.0,,,"k=8,metodo=single"
96,trigramas,jerarquico,UMAP,-0.087754,-0.087754,5,0,0.0,,,"k=5,metodo=single"
97,trigramas,jerarquico,TSNE,-0.096819,-0.096819,5,0,0.0,,,"k=5,metodo=single"
98,trigramas,jerarquico,UMAP,-0.098196,-0.098196,6,0,0.0,,,"k=6,metodo=single"
99,trigramas,jerarquico,UMAP,-0.113679,-0.113679,7,0,0.0,,,"k=7,metodo=single"
100,trigramas,jerarquico,TSNE,-0.114928,-0.114928,4,0,0.0,,,"k=4,metodo=single"
101,trigramas,jerarquico,TSNE,-0.122221,-0.122221,3,0,0.0,,,"k=3,metodo=single"
102,trigramas,jerarquico,TSNE,-0.144235,-0.144235,9,0,0.0,,,"k=9,metodo=single"
103,trigramas,jerarquico,TSNE,-0.150082,-0.150082,10,0,0.0,,,"k=10,metodo=single"
104,trigramas,jerarquico,TSNE,-0.166992,-0.166992,8,0,0.0,,,"k=8,metodo=single"
105,trigramas,jerarquico,UMAP,-0.178905,-0.178905,9,0,0.0,,,"k=9,metodo=single"
106,trigramas,jerarquico,TSNE,-0.188824,-0.188824,7,0,0.0,,,"k=7,metodo=single"
107,trigramas,jerarquico,TSNE,-0.210542,-0.210542,6,0,0.0,,,"k=6,metodo=single"
108,trigramas,jerarquico,UMAP,-0.223624,-0.223624,10,0,0.0,,,"k=10,metodo=single"
1,trigramas,kmeans,UMAP,1.0,0.348804,3,0,0.0,59.9994,3.0,k=3
2,trigramas,kmeans,TSNE,1.0,0.352849,3,0,0.0,5921414.0,3.0,k=3
3,trigramas,kmeans,TSNE,0.800083,0.339741,4,0,0.0,4300335.0,3.0,k=4
4,trigramas,kmeans,PCA,0.766667,0.502699,10,0,0.0,0.3723,3.0,k=10
5,trigramas,kmeans,TSNE,0.712645,0.338106,6,0,0.0,2846979.0,3.0,k=6
